instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,delta temp,> avg temp,hum,windspeed,casual,registered,cnt,Casual Percent,Casual > 30%
1,1/1/11,1,0,1,0,6,0,2,0.344167,0.363625,-0.019458,FALSE,0.805833,0.160446,331,654,985,0.336040609,TRUE
2,1/2/11,1,0,1,0,0,0,2,0.363478,0.353739,0.009739,TRUE,0.696087,0.248539,131,670,801,0.163545568,FALSE
3,1/3/11,1,0,1,0,1,1,1,0.196364,0.189405,0.006959,TRUE,0.437273,0.248309,120,1229,1349,0.088954781,FALSE
4,1/4/11,1,0,1,0,2,1,1,0.2,0.212122,-0.012122,FALSE,0.590435,0.160296,108,1454,1562,0.069142125,FALSE
5,1/5/11,1,0,1,0,3,1,1,0.226957,0.22927,-0.002313,FALSE,0.436957,0.1869,82,1518,1600,0.05125,FALSE
6,1/6/11,1,0,1,0,4,1,1,0.204348,0.233209,-0.028861,FALSE,0.518261,0.0895652,88,1518,1606,0.054794521,FALSE
7,1/7/11,1,0,1,0,5,1,2,0.196522,0.208839,-0.012317,FALSE,0.498696,0.168726,148,1362,1510,0.098013245,FALSE
8,1/8/11,1,0,1,0,6,0,2,0.165,0.162254,0.002746,TRUE,0.535833,0.266804,68,891,959,0.070907195,FALSE
9,1/9/11,1,0,1,0,0,0,1,0.138333,0.116175,0.022158,TRUE,0.434167,0.36195,54,768,822,0.065693431,FALSE
10,1/10/11,1,0,1,0,1,1,1,0.150833,0.150888,-5.5E-05,FALSE,0.482917,0.223267,41,1280,1321,0.031037093,FALSE
11,1/11/11,1,0,1,0,2,1,2,0.169091,0.191464,-0.022373,FALSE,0.686364,0.122132,43,1220,1263,0.034045922,FALSE
12,1/12/11,1,0,1,0,3,1,1,0.172727,0.160473,0.012254,TRUE,0.599545,0.304627,25,1137,1162,0.02151463,FALSE
13,1/13/11,1,0,1,0,4,1,1,0.165,0.150883,0.014117,TRUE,0.470417,0.301,38,1368,1406,0.027027027,FALSE
14,1/14/11,1,0,1,0,5,1,1,0.16087,0.188413,-0.027543,FALSE,0.537826,0.126548,54,1367,1421,0.038001407,FALSE
15,1/15/11,1,0,1,0,6,0,2,0.233333,0.248112,-0.014779,FALSE,0.49875,0.157963,222,1026,1248,0.177884615,FALSE
16,1/16/11,1,0,1,0,0,0,1,0.231667,0.234217,-0.00255,FALSE,0.48375,0.188433,251,953,1204,0.208471761,FALSE
17,1/17/11,1,0,1,1,1,0,2,0.175833,0.176771,-0.000938,FALSE,0.5375,0.194017,117,883,1000,0.117,FALSE
18,1/18/11,1,0,1,0,2,1,2,0.216667,0.232333,-0.015666,FALSE,0.861667,0.146775,9,674,683,0.01317716,FALSE
19,1/19/11,1,0,1,0,3,1,2,0.292174,0.298422,-0.006248,FALSE,0.741739,0.208317,78,1572,1650,0.047272727,FALSE
20,1/20/11,1,0,1,0,4,1,2,0.261667,0.25505,0.006617,TRUE,0.538333,0.195904,83,1844,1927,0.043072133,FALSE
21,1/21/11,1,0,1,0,5,1,1,0.1775,0.157833,0.019667,TRUE,0.457083,0.353242,75,1468,1543,0.04860661,FALSE
22,1/22/11,1,0,1,0,6,0,1,0.0591304,0.0790696,-0.0199392,FALSE,0.4,0.17197,93,888,981,0.094801223,FALSE
23,1/23/11,1,0,1,0,0,0,1,0.0965217,0.0988391,-0.0023174,FALSE,0.436522,0.2466,150,836,986,0.152129817,FALSE
24,1/24/11,1,0,1,0,1,1,1,0.0973913,0.11793,-0.0205387,FALSE,0.491739,0.15833,86,1330,1416,0.060734463,FALSE
25,1/25/11,1,0,1,0,2,1,2,0.223478,0.234526,-0.011048,FALSE,0.616957,0.129796,186,1799,1985,0.093702771,FALSE
26,1/26/11,1,0,1,0,3,1,3,0.2175,0.2036,0.0139,TRUE,0.8625,0.29385,34,472,506,0.067193676,FALSE
27,1/27/11,1,0,1,0,4,1,1,0.195,0.2197,-0.0247,FALSE,0.6875,0.113837,15,416,431,0.034802784,FALSE
28,1/28/11,1,0,1,0,5,1,2,0.203478,0.223317,-0.019839,FALSE,0.793043,0.1233,38,1129,1167,0.032562125,FALSE
29,1/29/11,1,0,1,0,6,0,1,0.196522,0.212126,-0.015604,FALSE,0.651739,0.145365,123,975,1098,0.112021858,FALSE
30,1/30/11,1,0,1,0,0,0,1,0.216522,0.250322,-0.0338,FALSE,0.722174,0.0739826,140,956,1096,0.127737226,FALSE
31,1/31/11,1,0,1,0,1,1,2,0.180833,0.18625,-0.005417,FALSE,0.60375,0.187192,42,1459,1501,0.027981346,FALSE
32,2/1/11,1,0,2,0,2,1,2,0.192174,0.23453,-0.042356,FALSE,0.829565,0.053213,47,1313,1360,0.034558824,FALSE
33,2/2/11,1,0,2,0,3,1,2,0.26,0.254417,0.005583,TRUE,0.775417,0.264308,72,1454,1526,0.047182176,FALSE
34,2/3/11,1,0,2,0,4,1,1,0.186957,0.177878,0.009079,TRUE,0.437826,0.277752,61,1489,1550,0.039354839,FALSE
35,2/4/11,1,0,2,0,5,1,2,0.211304,0.228587,-0.017283,FALSE,0.585217,0.127839,88,1620,1708,0.051522248,FALSE
36,2/5/11,1,0,2,0,6,0,2,0.233333,0.243058,-0.009725,FALSE,0.929167,0.161079,100,905,1005,0.099502488,FALSE
37,2/6/11,1,0,2,0,0,0,1,0.285833,0.291671,-0.005838,FALSE,0.568333,0.1418,354,1269,1623,0.218114603,FALSE
38,2/7/11,1,0,2,0,1,1,1,0.271667,0.303658,-0.031991,FALSE,0.738333,0.0454083,120,1592,1712,0.070093458,FALSE
39,2/8/11,1,0,2,0,2,1,1,0.220833,0.198246,0.022587,TRUE,0.537917,0.36195,64,1466,1530,0.041830065,FALSE
40,2/9/11,1,0,2,0,3,1,2,0.134783,0.144283,-0.0095,FALSE,0.494783,0.188839,53,1552,1605,0.033021807,FALSE
41,2/10/11,1,0,2,0,4,1,1,0.144348,0.149548,-0.0052,FALSE,0.437391,0.221935,47,1491,1538,0.030559168,FALSE
42,2/11/11,1,0,2,0,5,1,1,0.189091,0.213509,-0.024418,FALSE,0.506364,0.10855,149,1597,1746,0.085337915,FALSE
43,2/12/11,1,0,2,0,6,0,1,0.2225,0.232954,-0.010454,FALSE,0.544167,0.203367,288,1184,1472,0.195652174,FALSE
44,2/13/11,1,0,2,0,0,0,1,0.316522,0.324113,-0.007591,FALSE,0.457391,0.260883,397,1192,1589,0.249842668,FALSE
45,2/14/11,1,0,2,0,1,1,1,0.415,0.39835,0.01665,TRUE,0.375833,0.417908,208,1705,1913,0.108729744,FALSE
46,2/15/11,1,0,2,0,2,1,1,0.266087,0.254274,0.011813,TRUE,0.314348,0.291374,140,1675,1815,0.077134986,FALSE
47,2/16/11,1,0,2,0,3,1,1,0.318261,0.3162,0.002061,TRUE,0.423478,0.251791,218,1897,2115,0.103073286,FALSE
48,2/17/11,1,0,2,0,4,1,1,0.435833,0.428658,0.007175,TRUE,0.505,0.230104,259,2216,2475,0.104646465,FALSE
49,2/18/11,1,0,2,0,5,1,1,0.521667,0.511983,0.009684,TRUE,0.516667,0.264925,579,2348,2927,0.197813461,FALSE
50,2/19/11,1,0,2,0,6,0,1,0.399167,0.391404,0.007763,TRUE,0.187917,0.507463,532,1103,1635,0.325382263,TRUE
51,2/20/11,1,0,2,0,0,0,1,0.285217,0.27733,0.007887,TRUE,0.407826,0.223235,639,1173,1812,0.352649007,TRUE
52,2/21/11,1,0,2,1,1,0,2,0.303333,0.284075,0.019258,TRUE,0.605,0.307846,195,912,1107,0.176151762,FALSE
53,2/22/11,1,0,2,0,2,1,1,0.182222,0.186033,-0.003811,FALSE,0.577778,0.195683,74,1376,1450,0.051034483,FALSE
54,2/23/11,1,0,2,0,3,1,1,0.221739,0.245717,-0.023978,FALSE,0.423043,0.094113,139,1778,1917,0.072509129,FALSE
55,2/24/11,1,0,2,0,4,1,2,0.295652,0.289191,0.006461,TRUE,0.697391,0.250496,100,1707,1807,0.055340343,FALSE
56,2/25/11,1,0,2,0,5,1,2,0.364348,0.350461,0.013887,TRUE,0.712174,0.346539,120,1341,1461,0.082135524,FALSE
57,2/26/11,1,0,2,0,6,0,1,0.2825,0.282192,0.000308,TRUE,0.537917,0.186571,424,1545,1969,0.215337735,FALSE
58,2/27/11,1,0,2,0,0,0,1,0.343478,0.351109,-0.007631,FALSE,0.68,0.125248,694,1708,2402,0.288925895,FALSE
59,2/28/11,1,0,2,0,1,1,2,0.407273,0.400118,0.007155,TRUE,0.876364,0.289686,81,1365,1446,0.056016598,FALSE
60,3/1/11,1,0,3,0,2,1,1,0.266667,0.263879,0.002788,TRUE,0.535,0.216425,137,1714,1851,0.074014046,FALSE
61,3/2/11,1,0,3,0,3,1,1,0.335,0.320071,0.014929,TRUE,0.449583,0.307833,231,1903,2134,0.108247423,FALSE
62,3/3/11,1,0,3,0,4,1,1,0.198333,0.200133,-0.0018,FALSE,0.318333,0.225754,123,1562,1685,0.072997033,FALSE
63,3/4/11,1,0,3,0,5,1,2,0.261667,0.255679,0.005988,TRUE,0.610417,0.203346,214,1730,1944,0.110082305,FALSE
64,3/5/11,1,0,3,0,6,0,2,0.384167,0.378779,0.005388,TRUE,0.789167,0.251871,640,1437,2077,0.308136736,TRUE
65,3/6/11,1,0,3,0,0,0,2,0.376522,0.366252,0.01027,TRUE,0.948261,0.343287,114,491,605,0.188429752,FALSE
66,3/7/11,1,0,3,0,1,1,1,0.261739,0.238461,0.023278,TRUE,0.551304,0.341352,244,1628,1872,0.13034188,FALSE
67,3/8/11,1,0,3,0,2,1,1,0.2925,0.3024,-0.0099,FALSE,0.420833,0.12065,316,1817,2133,0.148148148,FALSE
68,3/9/11,1,0,3,0,3,1,2,0.295833,0.286608,0.009225,TRUE,0.775417,0.22015,191,1700,1891,0.101004759,FALSE
69,3/10/11,1,0,3,0,4,1,3,0.389091,0.385668,0.003423,TRUE,0,0.261877,46,577,623,0.073836276,FALSE
70,3/11/11,1,0,3,0,5,1,2,0.316522,0.305,0.011522,TRUE,0.649565,0.23297,247,1730,1977,0.124936773,FALSE
71,3/12/11,1,0,3,0,6,0,1,0.329167,0.32575,0.003417,TRUE,0.594583,0.220775,724,1408,2132,0.339587242,TRUE
72,3/13/11,1,0,3,0,0,0,1,0.384348,0.380091,0.004257,TRUE,0.527391,0.270604,982,1435,2417,0.406288788,TRUE
73,3/14/11,1,0,3,0,1,1,1,0.325217,0.332,-0.006783,FALSE,0.496957,0.136926,359,1687,2046,0.175464321,FALSE
74,3/15/11,1,0,3,0,2,1,2,0.317391,0.318178,-0.000787,FALSE,0.655652,0.184309,289,1767,2056,0.140564202,FALSE
75,3/16/11,1,0,3,0,3,1,2,0.365217,0.36693,-0.001713,FALSE,0.776522,0.203117,321,1871,2192,0.146441606,FALSE
76,3/17/11,1,0,3,0,4,1,1,0.415,0.410333,0.004667,TRUE,0.602917,0.209579,424,2320,2744,0.15451895,FALSE
77,3/18/11,1,0,3,0,5,1,1,0.54,0.527009,0.012991,TRUE,0.525217,0.231017,884,2355,3239,0.272923742,FALSE
78,3/19/11,1,0,3,0,6,0,1,0.4725,0.466525,0.005975,TRUE,0.379167,0.368167,1424,1693,3117,0.456849535,TRUE
79,3/20/11,1,0,3,0,0,0,1,0.3325,0.32575,0.00675,TRUE,0.47375,0.207721,1047,1424,2471,0.423715095,TRUE
80,3/21/11,2,0,3,0,1,1,2,0.430435,0.409735,0.0207,TRUE,0.737391,0.288783,401,1676,2077,0.193066923,FALSE
81,3/22/11,2,0,3,0,2,1,1,0.441667,0.440642,0.001025,TRUE,0.624583,0.22575,460,2243,2703,0.17018128,FALSE
82,3/23/11,2,0,3,0,3,1,2,0.346957,0.337939,0.009018,TRUE,0.839565,0.234261,203,1918,2121,0.095709571,FALSE
83,3/24/11,2,0,3,0,4,1,2,0.285,0.270833,0.014167,TRUE,0.805833,0.243787,166,1699,1865,0.089008043,FALSE
84,3/25/11,2,0,3,0,5,1,1,0.264167,0.256312,0.007855,TRUE,0.495,0.230725,300,1910,2210,0.135746606,FALSE
85,3/26/11,2,0,3,0,6,0,1,0.265833,0.257571,0.008262,TRUE,0.394167,0.209571,981,1515,2496,0.393028846,TRUE
86,3/27/11,2,0,3,0,0,0,2,0.253043,0.250339,0.002704,TRUE,0.493913,0.1843,472,1221,1693,0.278795038,FALSE
87,3/28/11,2,0,3,0,1,1,1,0.264348,0.257574,0.006774,TRUE,0.302174,0.212204,222,1806,2028,0.109467456,FALSE
88,3/29/11,2,0,3,0,2,1,1,0.3025,0.292908,0.009592,TRUE,0.314167,0.226996,317,2108,2425,0.130721649,FALSE
89,3/30/11,2,0,3,0,3,1,2,0.3,0.29735,0.00265,TRUE,0.646667,0.172888,168,1368,1536,0.109375,FALSE
90,3/31/11,2,0,3,0,4,1,3,0.268333,0.257575,0.010758,TRUE,0.918333,0.217646,179,1506,1685,0.106231454,FALSE
91,4/1/11,2,0,4,0,5,1,2,0.3,0.283454,0.016546,TRUE,0.68625,0.258708,307,1920,2227,0.137853615,FALSE
92,4/2/11,2,0,4,0,6,0,2,0.315,0.315637,-0.000637,FALSE,0.65375,0.197146,898,1354,2252,0.398756661,TRUE
93,4/3/11,2,0,4,0,0,0,1,0.378333,0.378767,-0.000434,FALSE,0.48,0.182213,1651,1598,3249,0.508156356,TRUE
94,4/4/11,2,0,4,0,1,1,1,0.573333,0.542929,0.030404,TRUE,0.42625,0.385571,734,2381,3115,0.235634029,FALSE
95,4/5/11,2,0,4,0,2,1,2,0.414167,0.39835,0.015817,TRUE,0.642083,0.388067,167,1628,1795,0.093036212,FALSE
96,4/6/11,2,0,4,0,3,1,1,0.390833,0.387608,0.003225,TRUE,0.470833,0.263063,413,2395,2808,0.147079772,FALSE
97,4/7/11,2,0,4,0,4,1,1,0.4375,0.433696,0.003804,TRUE,0.602917,0.162312,571,2570,3141,0.181789239,FALSE
98,4/8/11,2,0,4,0,5,1,2,0.335833,0.324479,0.011354,TRUE,0.83625,0.226992,172,1299,1471,0.11692726,FALSE
99,4/9/11,2,0,4,0,6,0,2,0.3425,0.341529,0.000971,TRUE,0.8775,0.133083,879,1576,2455,0.358044807,TRUE
100,4/10/11,2,0,4,0,0,0,2,0.426667,0.426737,-7E-05,FALSE,0.8575,0.146767,1188,1707,2895,0.410362694,TRUE
101,4/11/11,2,0,4,0,1,1,2,0.595652,0.565217,0.030435,TRUE,0.716956,0.324474,855,2493,3348,0.255376344,FALSE
102,4/12/11,2,0,4,0,2,1,2,0.5025,0.493054,0.009446,TRUE,0.739167,0.274879,257,1777,2034,0.126352016,FALSE
103,4/13/11,2,0,4,0,3,1,2,0.4125,0.417283,-0.004783,FALSE,0.819167,0.250617,209,1953,2162,0.09666975,FALSE
104,4/14/11,2,0,4,0,4,1,1,0.4675,0.462742,0.004758,TRUE,0.540417,0.1107,529,2738,3267,0.161922253,FALSE
105,4/15/11,2,0,4,1,5,0,1,0.446667,0.441913,0.004754,TRUE,0.67125,0.226375,642,2484,3126,0.20537428,FALSE
106,4/16/11,2,0,4,0,6,0,3,0.430833,0.425492,0.005341,TRUE,0.888333,0.340808,121,674,795,0.152201258,FALSE
107,4/17/11,2,0,4,0,0,0,1,0.456667,0.445696,0.010971,TRUE,0.479583,0.303496,1558,2186,3744,0.416132479,TRUE
108,4/18/11,2,0,4,0,1,1,1,0.5125,0.503146,0.009354,TRUE,0.5425,0.163567,669,2760,3429,0.195100612,FALSE
109,4/19/11,2,0,4,0,2,1,2,0.505833,0.489258,0.016575,TRUE,0.665833,0.157971,409,2795,3204,0.127652934,FALSE
110,4/20/11,2,0,4,0,3,1,1,0.595,0.564392,0.030608,TRUE,0.614167,0.241925,613,3331,3944,0.155425963,FALSE
111,4/21/11,2,0,4,0,4,1,1,0.459167,0.453892,0.005275,TRUE,0.407083,0.325258,745,3444,4189,0.177846741,FALSE
112,4/22/11,2,0,4,0,5,1,2,0.336667,0.321954,0.014713,TRUE,0.729583,0.219521,177,1506,1683,0.10516934,FALSE
113,4/23/11,2,0,4,0,6,0,2,0.46,0.450121,0.009879,TRUE,0.887917,0.230725,1462,2574,4036,0.362239841,TRUE
114,4/24/11,2,0,4,0,0,0,2,0.581667,0.551763,0.029904,TRUE,0.810833,0.192175,1710,2481,4191,0.40801718,TRUE
115,4/25/11,2,0,4,0,1,1,1,0.606667,0.5745,0.032167,TRUE,0.776667,0.185333,773,3300,4073,0.189786398,FALSE
116,4/26/11,2,0,4,0,2,1,1,0.631667,0.594083,0.037584,TRUE,0.729167,0.3265,678,3722,4400,0.154090909,FALSE
117,4/27/11,2,0,4,0,3,1,2,0.62,0.575142,0.044858,TRUE,0.835417,0.3122,547,3325,3872,0.141270661,FALSE
118,4/28/11,2,0,4,0,4,1,2,0.6175,0.578929,0.038571,TRUE,0.700833,0.320908,569,3489,4058,0.140216856,FALSE
119,4/29/11,2,0,4,0,5,1,1,0.51,0.497463,0.012537,TRUE,0.457083,0.240063,878,3717,4595,0.191077258,FALSE
120,4/30/11,2,0,4,0,6,0,1,0.4725,0.464021,0.008479,TRUE,0.503333,0.235075,1965,3347,5312,0.369917169,TRUE
121,5/1/11,2,0,5,0,0,0,2,0.451667,0.448204,0.003463,TRUE,0.762083,0.106354,1138,2213,3351,0.339600119,TRUE
122,5/2/11,2,0,5,0,1,1,2,0.549167,0.532833,0.016334,TRUE,0.73,0.183454,847,3554,4401,0.19245626,FALSE
123,5/3/11,2,0,5,0,2,1,2,0.616667,0.582079,0.034588,TRUE,0.697083,0.342667,603,3848,4451,0.135475174,FALSE
124,5/4/11,2,0,5,0,3,1,2,0.414167,0.40465,0.009517,TRUE,0.737083,0.328996,255,2378,2633,0.096847702,FALSE
125,5/5/11,2,0,5,0,4,1,1,0.459167,0.441917,0.01725,TRUE,0.444167,0.295392,614,3819,4433,0.138506655,FALSE
126,5/6/11,2,0,5,0,5,1,1,0.479167,0.474117,0.00505,TRUE,0.59,0.228246,894,3714,4608,0.194010417,FALSE
127,5/7/11,2,0,5,0,6,0,1,0.52,0.512621,0.007379,TRUE,0.54125,0.16045,1612,3102,4714,0.341960119,TRUE
128,5/8/11,2,0,5,0,0,0,1,0.528333,0.518933,0.0094,TRUE,0.631667,0.0746375,1401,2932,4333,0.323332564,TRUE
129,5/9/11,2,0,5,0,1,1,1,0.5325,0.525246,0.007254,TRUE,0.58875,0.176,664,3698,4362,0.152223751,FALSE
130,5/10/11,2,0,5,0,2,1,1,0.5325,0.522721,0.009779,TRUE,0.489167,0.115671,694,4109,4803,0.144493025,FALSE
131,5/11/11,2,0,5,0,3,1,1,0.5425,0.5284,0.0141,TRUE,0.632917,0.120642,550,3632,4182,0.131516021,FALSE
132,5/12/11,2,0,5,0,4,1,1,0.535,0.523363,0.011637,TRUE,0.7475,0.189667,695,4169,4864,0.142886513,FALSE
133,5/13/11,2,0,5,0,5,1,2,0.5125,0.4943,0.0182,TRUE,0.863333,0.179725,692,3413,4105,0.168574909,FALSE
134,5/14/11,2,0,5,0,6,0,2,0.520833,0.500629,0.020204,TRUE,0.9225,0.13495,902,2507,3409,0.264593722,FALSE
135,5/15/11,2,0,5,0,0,0,2,0.5625,0.536,0.0265,TRUE,0.867083,0.152979,1582,2971,4553,0.347463211,TRUE
136,5/16/11,2,0,5,0,1,1,1,0.5775,0.550512,0.026988,TRUE,0.787917,0.126871,773,3185,3958,0.195300657,FALSE
137,5/17/11,2,0,5,0,2,1,2,0.561667,0.538529,0.023138,TRUE,0.837917,0.277354,678,3445,4123,0.164443366,FALSE
138,5/18/11,2,0,5,0,3,1,2,0.55,0.527158,0.022842,TRUE,0.87,0.201492,536,3319,3855,0.139040208,FALSE
139,5/19/11,2,0,5,0,4,1,2,0.530833,0.510742,0.020091,TRUE,0.829583,0.108213,735,3840,4575,0.160655738,FALSE
140,5/20/11,2,0,5,0,5,1,1,0.536667,0.529042,0.007625,TRUE,0.719583,0.125013,909,4008,4917,0.184868822,FALSE
141,5/21/11,2,0,5,0,6,0,1,0.6025,0.571975,0.030525,TRUE,0.626667,0.12065,2258,3547,5805,0.388975022,TRUE
142,5/22/11,2,0,5,0,0,0,1,0.604167,0.5745,0.029667,TRUE,0.749583,0.148008,1576,3084,4660,0.338197425,TRUE
143,5/23/11,2,0,5,0,1,1,2,0.631667,0.590296,0.041371,TRUE,0.81,0.233842,836,3438,4274,0.19560131,FALSE
144,5/24/11,2,0,5,0,2,1,2,0.66,0.604813,0.055187,TRUE,0.740833,0.207092,659,3833,4492,0.146705254,FALSE
145,5/25/11,2,0,5,0,3,1,1,0.660833,0.615542,0.045291,TRUE,0.69625,0.154233,740,4238,4978,0.148654078,FALSE
146,5/26/11,2,0,5,0,4,1,1,0.708333,0.654688,0.053645,TRUE,0.6775,0.199642,758,3919,4677,0.162069703,FALSE
147,5/27/11,2,0,5,0,5,1,1,0.681667,0.637008,0.044659,TRUE,0.65375,0.240679,871,3808,4679,0.186150887,FALSE
148,5/28/11,2,0,5,0,6,0,1,0.655833,0.612379,0.043454,TRUE,0.729583,0.230092,2001,2757,4758,0.420554855,TRUE
149,5/29/11,2,0,5,0,0,0,1,0.6675,0.61555,0.05195,TRUE,0.81875,0.213938,2355,2433,4788,0.491854637,TRUE
150,5/30/11,2,0,5,1,1,0,1,0.733333,0.671092,0.062241,TRUE,0.685,0.131225,1549,2549,4098,0.377989263,TRUE
151,5/31/11,2,0,5,0,2,1,1,0.775,0.725383,0.049617,TRUE,0.636667,0.111329,673,3309,3982,0.169010547,FALSE
152,6/1/11,2,0,6,0,3,1,2,0.764167,0.720967,0.0432,TRUE,0.677083,0.207092,513,3461,3974,0.129089079,FALSE
153,6/2/11,2,0,6,0,4,1,1,0.715,0.643942,0.071058,TRUE,0.305,0.292287,736,4232,4968,0.148148148,FALSE
154,6/3/11,2,0,6,0,5,1,1,0.62,0.587133,0.032867,TRUE,0.354167,0.253121,898,4414,5312,0.169051205,FALSE
155,6/4/11,2,0,6,0,6,0,1,0.635,0.594696,0.040304,TRUE,0.45625,0.123142,1869,3473,5342,0.349868963,TRUE
156,6/5/11,2,0,6,0,0,0,2,0.648333,0.616804,0.031529,TRUE,0.6525,0.138692,1685,3221,4906,0.343456991,TRUE
157,6/6/11,2,0,6,0,1,1,1,0.678333,0.621858,0.056475,TRUE,0.6,0.121896,673,3875,4548,0.147977133,FALSE
158,6/7/11,2,0,6,0,2,1,1,0.7075,0.65595,0.05155,TRUE,0.597917,0.187808,763,4070,4833,0.157872957,FALSE
159,6/8/11,2,0,6,0,3,1,1,0.775833,0.727279,0.048554,TRUE,0.622083,0.136817,676,3725,4401,0.153601454,FALSE
160,6/9/11,2,0,6,0,4,1,2,0.808333,0.757579,0.050754,TRUE,0.568333,0.149883,563,3352,3915,0.143805875,FALSE
161,6/10/11,2,0,6,0,5,1,1,0.755,0.703292,0.051708,TRUE,0.605,0.140554,815,3771,4586,0.177714784,FALSE
162,6/11/11,2,0,6,0,6,0,1,0.725,0.678038,0.046962,TRUE,0.654583,0.15485,1729,3237,4966,0.348167539,TRUE
163,6/12/11,2,0,6,0,0,0,1,0.6925,0.643325,0.049175,TRUE,0.747917,0.163567,1467,2993,4460,0.328923767,TRUE
164,6/13/11,2,0,6,0,1,1,1,0.635,0.601654,0.033346,TRUE,0.494583,0.30535,863,4157,5020,0.171912351,FALSE
165,6/14/11,2,0,6,0,2,1,1,0.604167,0.591546,0.012621,TRUE,0.507083,0.269283,727,4164,4891,0.14864036,FALSE
166,6/15/11,2,0,6,0,3,1,1,0.626667,0.587754,0.038913,TRUE,0.471667,0.167912,769,4411,5180,0.148455598,FALSE
167,6/16/11,2,0,6,0,4,1,2,0.628333,0.595346,0.032987,TRUE,0.688333,0.206471,545,3222,3767,0.144677462,FALSE
168,6/17/11,2,0,6,0,5,1,1,0.649167,0.600383,0.048784,TRUE,0.735833,0.143029,863,3981,4844,0.178158547,FALSE
169,6/18/11,2,0,6,0,6,0,1,0.696667,0.643954,0.052713,TRUE,0.670417,0.119408,1807,3312,5119,0.352998633,TRUE
170,6/19/11,2,0,6,0,0,0,2,0.699167,0.645846,0.053321,TRUE,0.666667,0.102,1639,3105,4744,0.345489039,TRUE
171,6/20/11,2,0,6,0,1,1,2,0.635,0.595346,0.039654,TRUE,0.74625,0.155475,699,3311,4010,0.174314214,FALSE
172,6/21/11,3,0,6,0,2,1,2,0.680833,0.637646,0.043187,TRUE,0.770417,0.171025,774,4061,4835,0.16008273,FALSE
173,6/22/11,3,0,6,0,3,1,1,0.733333,0.693829,0.039504,TRUE,0.7075,0.172262,661,3846,4507,0.14666075,FALSE
174,6/23/11,3,0,6,0,4,1,2,0.728333,0.693833,0.0345,TRUE,0.703333,0.238804,746,4044,4790,0.155741127,FALSE
175,6/24/11,3,0,6,0,5,1,1,0.724167,0.656583,0.067584,TRUE,0.573333,0.222025,969,4022,4991,0.194149469,FALSE
176,6/25/11,3,0,6,0,6,0,1,0.695,0.643313,0.051687,TRUE,0.483333,0.209571,1782,3420,5202,0.342560554,TRUE
177,6/26/11,3,0,6,0,0,0,1,0.68,0.637629,0.042371,TRUE,0.513333,0.0945333,1920,3385,5305,0.361922714,TRUE
178,6/27/11,3,0,6,0,1,1,2,0.6825,0.637004,0.045496,TRUE,0.658333,0.107588,854,3854,4708,0.181393373,FALSE
179,6/28/11,3,0,6,0,2,1,1,0.744167,0.692558,0.051609,TRUE,0.634167,0.144283,732,3916,4648,0.157487091,FALSE
180,6/29/11,3,0,6,0,3,1,1,0.728333,0.654688,0.073645,TRUE,0.497917,0.261821,848,4377,5225,0.162296651,FALSE
181,6/30/11,3,0,6,0,4,1,1,0.696667,0.637008,0.059659,TRUE,0.434167,0.185312,1027,4488,5515,0.186219402,FALSE
182,7/1/11,3,0,7,0,5,1,1,0.7225,0.652162,0.070338,TRUE,0.39625,0.102608,1246,4116,5362,0.232375979,FALSE
183,7/2/11,3,0,7,0,6,0,1,0.738333,0.667308,0.071025,TRUE,0.444583,0.115062,2204,2915,5119,0.430552842,TRUE
184,7/3/11,3,0,7,0,0,0,2,0.716667,0.668575,0.048092,TRUE,0.6825,0.228858,2282,2367,4649,0.490858249,TRUE
