Wife Age,Wife Education,Husband Edu,Children,More than 2,#Children born,Wife Islamic,Wife Working,Husband Occupation,Std living,Media Exposure,Contraceptive Used,Active Use
24,2,3,FALSE,TRUE,3,1,1,2,3,0,1,FALSE
45,1,3,FALSE,TRUE,10,1,1,3,4,0,1,FALSE
43,2,3,FALSE,TRUE,7,1,1,3,4,0,1,FALSE
42,3,2,FALSE,TRUE,9,1,1,3,3,0,1,FALSE
36,3,3,FALSE,TRUE,8,1,1,3,2,0,1,FALSE
19,4,4,TRUE,FALSE,0,1,1,3,3,0,1,FALSE
38,2,3,FALSE,TRUE,6,1,1,3,2,0,1,FALSE
21,3,3,FALSE,FALSE,1,1,0,3,2,0,1,FALSE
27,2,3,FALSE,TRUE,3,1,1,3,4,0,1,FALSE
45,1,1,FALSE,TRUE,8,1,1,2,2,1,1,FALSE
38,1,3,FALSE,FALSE,2,1,0,3,3,1,1,FALSE
42,1,4,FALSE,TRUE,4,1,1,1,3,0,1,FALSE
44,4,4,FALSE,FALSE,1,1,0,1,4,0,1,FALSE
42,2,4,FALSE,FALSE,1,1,0,3,3,0,1,FALSE
38,3,4,FALSE,FALSE,2,1,1,2,3,0,1,FALSE
26,2,4,TRUE,FALSE,0,1,1,4,1,0,1,FALSE
48,1,1,FALSE,TRUE,7,1,1,2,4,0,1,FALSE
39,2,2,FALSE,TRUE,6,1,1,2,4,0,1,FALSE
37,2,2,FALSE,TRUE,8,1,1,2,3,0,1,FALSE
39,2,1,FALSE,TRUE,5,1,1,2,1,1,1,FALSE
26,3,4,FALSE,FALSE,1,1,0,4,1,0,1,FALSE
24,3,4,TRUE,FALSE,0,1,0,3,1,0,1,FALSE
46,4,4,FALSE,FALSE,1,0,1,1,4,0,1,FALSE
39,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
48,4,4,FALSE,TRUE,5,1,1,1,4,0,1,FALSE
40,2,4,FALSE,TRUE,8,1,1,3,3,0,1,FALSE
38,4,4,FALSE,FALSE,1,1,0,1,4,0,1,FALSE
29,4,4,TRUE,FALSE,0,1,0,1,4,0,1,FALSE
24,4,4,TRUE,FALSE,0,1,0,2,2,0,1,FALSE
43,1,2,FALSE,TRUE,8,1,1,2,4,0,1,FALSE
31,3,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
31,4,4,FALSE,FALSE,2,1,1,3,2,0,1,FALSE
26,2,4,TRUE,FALSE,0,1,0,1,2,0,1,FALSE
33,2,2,FALSE,FALSE,2,1,1,3,1,0,1,FALSE
24,2,3,FALSE,FALSE,1,1,1,3,3,0,1,FALSE
42,1,3,FALSE,TRUE,9,1,1,3,2,1,1,FALSE
43,1,2,FALSE,TRUE,8,1,0,3,1,0,1,FALSE
25,3,3,FALSE,TRUE,4,1,1,3,2,0,1,FALSE
42,2,2,FALSE,TRUE,3,1,1,3,4,0,1,FALSE
28,2,2,FALSE,FALSE,1,1,1,2,4,0,1,FALSE
28,1,1,FALSE,TRUE,3,1,1,3,1,0,1,FALSE
47,2,3,TRUE,FALSE,0,1,0,1,3,0,1,FALSE
48,2,4,FALSE,FALSE,2,1,1,1,3,0,1,FALSE
40,4,4,FALSE,FALSE,2,0,1,1,4,0,1,FALSE
28,2,2,FALSE,FALSE,1,1,1,3,2,0,1,FALSE
25,1,4,FALSE,FALSE,1,1,1,2,1,0,1,FALSE
32,4,4,FALSE,FALSE,2,1,1,2,3,0,1,FALSE
45,4,4,TRUE,FALSE,0,1,1,2,4,0,1,FALSE
26,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
26,4,4,TRUE,FALSE,0,1,0,1,4,0,1,FALSE
31,4,4,TRUE,FALSE,0,1,0,1,4,0,1,FALSE
49,4,4,FALSE,TRUE,7,0,1,2,4,0,1,FALSE
40,3,4,FALSE,TRUE,8,1,1,3,3,0,1,FALSE
34,4,4,FALSE,FALSE,1,0,0,2,3,0,1,FALSE
36,2,4,FALSE,TRUE,5,1,1,2,3,0,1,FALSE
20,2,2,FALSE,FALSE,2,1,1,2,2,1,1,FALSE
43,4,4,FALSE,TRUE,5,1,0,1,4,0,1,FALSE
37,3,4,FALSE,TRUE,7,1,1,2,1,0,1,FALSE
21,2,3,TRUE,FALSE,0,1,1,3,4,0,1,FALSE
49,4,4,FALSE,TRUE,6,1,1,1,2,0,1,FALSE
42,3,3,FALSE,TRUE,10,1,1,3,3,0,1,FALSE
20,2,3,FALSE,FALSE,1,1,1,2,3,0,1,FALSE
47,1,2,FALSE,FALSE,2,1,0,1,3,0,1,FALSE
22,2,3,FALSE,FALSE,1,1,1,2,1,0,1,FALSE
27,2,4,FALSE,FALSE,1,1,0,1,3,0,1,FALSE
24,2,4,FALSE,FALSE,1,1,1,3,1,0,1,FALSE
44,4,2,FALSE,TRUE,8,1,1,3,3,0,1,FALSE
30,2,3,FALSE,TRUE,3,1,1,3,1,0,1,FALSE
23,3,4,FALSE,FALSE,2,1,1,3,4,0,1,FALSE
25,4,4,FALSE,FALSE,1,1,0,3,3,0,1,FALSE
47,2,3,FALSE,TRUE,4,1,1,2,3,0,1,FALSE
48,2,3,FALSE,TRUE,8,1,1,1,4,0,1,FALSE
29,2,3,FALSE,FALSE,1,1,1,1,1,0,1,FALSE
29,2,3,FALSE,FALSE,1,1,1,1,2,0,1,FALSE
21,3,4,TRUE,FALSE,0,1,1,2,3,0,1,FALSE
21,3,4,FALSE,FALSE,1,1,1,2,3,0,1,FALSE
29,4,4,TRUE,FALSE,0,1,0,2,4,0,1,FALSE
45,3,4,FALSE,TRUE,3,1,1,1,4,0,1,FALSE
33,2,3,FALSE,FALSE,2,1,1,3,2,0,1,FALSE
38,4,4,FALSE,FALSE,1,1,0,1,4,0,1,FALSE
24,4,4,TRUE,FALSE,0,0,1,1,4,0,1,FALSE
49,4,4,FALSE,TRUE,6,0,0,1,4,0,1,FALSE
24,2,4,FALSE,FALSE,1,1,0,4,4,0,1,FALSE
28,4,4,TRUE,FALSE,0,0,0,1,4,0,1,FALSE
30,4,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
33,4,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
25,4,4,FALSE,FALSE,1,1,1,1,3,0,1,FALSE
35,4,4,FALSE,TRUE,3,0,1,1,4,0,1,FALSE
27,2,4,FALSE,TRUE,4,1,1,1,4,0,1,FALSE
24,2,2,FALSE,TRUE,3,1,0,2,1,0,1,FALSE
25,2,3,TRUE,FALSE,0,1,1,2,1,0,1,FALSE
46,2,4,FALSE,TRUE,6,1,1,1,4,0,1,FALSE
26,2,2,FALSE,TRUE,3,1,1,2,1,0,1,FALSE
38,2,2,FALSE,FALSE,1,1,0,3,2,0,1,FALSE
47,1,2,FALSE,TRUE,3,1,1,1,3,0,1,FALSE
41,1,3,FALSE,TRUE,10,1,1,2,3,1,1,FALSE
41,2,3,FALSE,FALSE,1,1,0,2,3,0,1,FALSE
28,4,4,FALSE,TRUE,5,1,1,2,1,0,1,FALSE
17,2,2,FALSE,TRUE,3,1,1,3,1,0,1,FALSE
27,2,3,FALSE,TRUE,5,1,1,2,1,0,1,FALSE
27,1,2,FALSE,TRUE,4,1,1,3,1,1,1,FALSE
19,2,3,TRUE,FALSE,0,1,0,2,2,0,1,FALSE
27,2,4,FALSE,TRUE,3,1,0,3,2,0,1,FALSE
26,4,3,FALSE,TRUE,4,1,1,2,3,0,1,FALSE
23,2,4,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
40,3,3,FALSE,TRUE,3,1,1,3,2,0,1,FALSE
22,4,4,TRUE,FALSE,0,1,1,1,1,0,1,FALSE
44,3,4,FALSE,TRUE,4,1,0,1,3,0,1,FALSE
29,2,3,FALSE,FALSE,2,1,1,3,1,0,1,FALSE
26,2,3,FALSE,TRUE,3,1,1,3,1,0,1,FALSE
45,4,4,FALSE,FALSE,1,1,0,3,3,0,1,FALSE
32,3,3,FALSE,TRUE,7,1,0,2,3,0,1,FALSE
21,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
31,2,2,FALSE,TRUE,4,1,1,3,3,0,1,FALSE
21,3,4,TRUE,FALSE,0,1,1,1,3,0,1,FALSE
37,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
34,4,4,FALSE,TRUE,3,0,0,3,3,0,1,FALSE
44,3,4,FALSE,FALSE,1,1,1,1,3,0,1,FALSE
49,4,3,FALSE,TRUE,5,1,1,2,3,0,1,FALSE
26,2,3,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
38,1,2,FALSE,FALSE,1,1,1,2,4,1,1,FALSE
36,2,3,FALSE,TRUE,5,1,1,2,3,0,1,FALSE
26,3,4,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
20,2,3,FALSE,FALSE,1,0,1,3,2,0,1,FALSE
44,2,1,FALSE,TRUE,3,1,0,3,2,0,1,FALSE
31,3,4,FALSE,FALSE,2,1,1,1,2,1,1,FALSE
45,4,4,FALSE,FALSE,1,1,1,1,3,0,1,FALSE
36,2,3,FALSE,FALSE,2,1,1,3,2,1,1,FALSE
43,1,3,FALSE,FALSE,2,1,0,2,2,1,1,FALSE
25,3,4,TRUE,FALSE,0,1,1,1,3,0,1,FALSE
48,3,4,FALSE,TRUE,3,1,1,3,1,0,1,FALSE
30,4,4,TRUE,FALSE,0,0,0,1,3,0,1,FALSE
48,1,2,FALSE,TRUE,8,1,1,3,1,0,1,FALSE
28,3,4,FALSE,FALSE,1,1,1,3,1,1,1,FALSE
26,4,4,FALSE,FALSE,1,1,1,1,3,0,1,FALSE
26,3,3,FALSE,TRUE,3,1,0,2,4,0,1,FALSE
24,4,4,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
21,3,3,FALSE,FALSE,2,1,1,2,2,0,1,FALSE
30,4,4,FALSE,FALSE,2,0,1,3,1,0,1,FALSE
20,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
33,4,4,FALSE,FALSE,2,1,1,1,3,0,1,FALSE
30,4,4,TRUE,FALSE,0,0,0,3,3,0,1,FALSE
47,4,4,FALSE,FALSE,1,1,0,1,3,0,1,FALSE
35,4,4,FALSE,FALSE,2,0,1,3,3,0,1,FALSE
30,2,4,FALSE,FALSE,2,1,1,3,4,0,1,FALSE
33,4,4,FALSE,TRUE,3,1,1,1,4,0,1,FALSE
45,4,4,FALSE,TRUE,4,1,1,2,3,0,1,FALSE
41,4,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
32,4,4,FALSE,FALSE,1,1,0,1,3,0,1,FALSE
43,4,4,FALSE,TRUE,5,1,1,1,4,0,1,FALSE
44,4,4,FALSE,TRUE,3,1,1,2,4,0,1,FALSE
21,1,3,FALSE,TRUE,4,1,1,3,2,0,1,FALSE
44,3,4,FALSE,FALSE,2,1,1,1,4,1,1,FALSE
23,4,4,FALSE,FALSE,2,1,1,2,4,0,1,FALSE
47,1,2,FALSE,TRUE,4,1,1,2,2,0,1,FALSE
47,1,1,FALSE,TRUE,7,1,1,2,3,1,1,FALSE
35,4,4,FALSE,FALSE,2,1,0,2,4,0,1,FALSE
32,2,4,FALSE,TRUE,4,1,1,3,2,0,1,FALSE
45,1,4,FALSE,TRUE,5,1,1,1,2,1,1,FALSE
22,2,2,FALSE,FALSE,2,1,1,3,1,0,1,FALSE
23,1,1,FALSE,TRUE,3,1,1,2,1,1,1,FALSE
30,4,4,TRUE,FALSE,0,1,0,1,4,0,1,FALSE
44,1,3,TRUE,FALSE,0,1,1,2,3,0,1,FALSE
40,3,3,FALSE,FALSE,1,1,0,3,3,0,1,FALSE
34,4,4,FALSE,TRUE,4,1,1,2,3,0,1,FALSE
37,3,4,FALSE,FALSE,1,1,1,2,4,0,1,FALSE
49,3,4,FALSE,TRUE,5,1,1,1,4,0,1,FALSE
26,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
22,4,4,TRUE,FALSE,0,1,1,2,4,0,1,FALSE
20,3,4,TRUE,FALSE,0,1,0,2,4,0,1,FALSE
47,4,4,FALSE,TRUE,4,1,1,1,4,0,1,FALSE
49,2,2,FALSE,TRUE,8,1,0,3,1,0,1,FALSE
22,2,4,FALSE,FALSE,1,1,1,2,4,0,1,FALSE
22,3,3,FALSE,FALSE,2,1,1,3,4,0,1,FALSE
25,3,2,FALSE,FALSE,2,1,1,3,2,0,1,FALSE
32,2,4,TRUE,FALSE,0,1,0,3,4,0,1,FALSE
28,4,4,TRUE,FALSE,0,0,1,1,3,0,1,FALSE
30,2,4,FALSE,TRUE,4,1,0,1,4,0,1,FALSE
45,2,4,FALSE,FALSE,2,1,0,2,4,0,1,FALSE
49,2,1,FALSE,TRUE,10,1,0,2,4,0,1,FALSE
34,4,4,FALSE,FALSE,2,1,0,1,4,0,1,FALSE
25,2,4,FALSE,FALSE,1,1,1,2,2,0,1,FALSE
42,1,3,FALSE,TRUE,12,1,1,3,3,0,1,FALSE
48,2,1,FALSE,TRUE,3,1,0,4,3,0,1,FALSE
35,3,4,FALSE,TRUE,5,1,0,2,2,0,1,FALSE
33,2,3,FALSE,FALSE,1,1,1,3,4,0,1,FALSE
20,2,4,TRUE,FALSE,0,1,1,3,2,0,1,FALSE
36,2,3,FALSE,TRUE,4,1,1,3,1,1,1,FALSE
19,3,3,FALSE,FALSE,2,1,1,3,2,0,1,FALSE
27,3,2,FALSE,TRUE,3,1,1,3,2,0,1,FALSE
30,1,2,FALSE,TRUE,4,1,1,4,1,0,1,FALSE
31,3,4,FALSE,TRUE,3,1,0,3,2,0,1,FALSE
44,1,1,FALSE,TRUE,11,1,1,4,1,1,1,FALSE
24,3,3,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
18,3,4,TRUE,FALSE,0,1,0,3,1,0,1,FALSE
45,1,2,FALSE,TRUE,6,1,1,3,3,1,1,FALSE
25,2,2,FALSE,TRUE,3,1,0,3,1,0,1,FALSE
36,3,4,FALSE,TRUE,6,1,1,2,4,0,1,FALSE
30,1,1,FALSE,TRUE,5,1,1,2,2,0,1,FALSE
32,2,4,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
42,1,4,FALSE,TRUE,11,0,1,2,2,1,1,FALSE
22,2,4,TRUE,FALSE,0,1,1,3,3,0,1,FALSE
36,2,4,FALSE,FALSE,2,1,0,2,4,0,1,FALSE
27,2,3,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
40,3,4,FALSE,FALSE,1,1,1,1,2,0,1,FALSE
22,2,3,FALSE,FALSE,2,1,1,3,1,0,1,FALSE
26,2,4,TRUE,FALSE,0,1,1,3,1,0,1,FALSE
31,3,4,TRUE,FALSE,0,1,0,2,3,0,1,FALSE
32,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
34,2,3,FALSE,TRUE,3,1,0,3,2,0,1,FALSE
40,3,3,FALSE,FALSE,1,0,1,3,4,0,1,FALSE
45,1,2,FALSE,FALSE,1,1,0,3,3,0,1,FALSE
26,3,4,FALSE,TRUE,3,1,1,3,2,0,1,FALSE
48,1,3,FALSE,TRUE,5,1,1,3,2,0,1,FALSE
43,1,3,FALSE,TRUE,8,1,1,3,1,0,1,FALSE
27,3,4,FALSE,FALSE,2,1,0,2,2,0,1,FALSE
42,3,2,FALSE,FALSE,1,1,1,3,3,0,1,FALSE
34,3,2,FALSE,TRUE,8,1,0,2,3,1,1,FALSE
32,3,2,FALSE,TRUE,4,1,1,2,2,1,1,FALSE
31,3,3,FALSE,FALSE,2,1,0,2,3,0,1,FALSE
22,2,3,FALSE,FALSE,1,1,1,3,3,0,1,FALSE
27,3,4,TRUE,FALSE,0,1,1,3,3,0,1,FALSE
37,1,2,FALSE,FALSE,2,1,1,2,2,1,1,FALSE
22,1,2,TRUE,FALSE,0,1,1,2,4,0,1,FALSE
47,4,4,FALSE,TRUE,4,1,1,1,4,0,1,FALSE
32,4,4,FALSE,TRUE,4,1,0,1,3,0,1,FALSE
37,3,3,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
45,1,3,FALSE,FALSE,1,1,1,2,3,1,1,FALSE
47,1,4,FALSE,TRUE,8,1,1,3,3,0,1,FALSE
28,3,4,TRUE,FALSE,0,1,1,3,2,0,1,FALSE
48,1,3,FALSE,TRUE,4,1,1,3,4,1,1,FALSE
26,2,4,FALSE,FALSE,1,1,1,1,3,0,1,FALSE
21,3,4,TRUE,FALSE,0,1,0,3,1,0,1,FALSE
20,2,3,FALSE,FALSE,1,1,1,2,4,0,1,FALSE
39,1,1,FALSE,TRUE,5,1,0,3,1,1,1,FALSE
27,2,3,FALSE,FALSE,1,1,0,3,4,0,1,FALSE
37,2,3,FALSE,TRUE,5,1,0,3,2,0,1,FALSE
24,4,4,FALSE,FALSE,1,1,1,3,3,0,1,FALSE
39,3,3,FALSE,TRUE,6,1,1,3,3,0,1,FALSE
20,3,3,FALSE,FALSE,1,1,1,2,3,0,1,FALSE
19,3,4,FALSE,FALSE,1,1,1,2,3,0,1,FALSE
40,3,3,FALSE,TRUE,4,1,1,2,2,0,1,FALSE
41,1,4,FALSE,TRUE,4,1,1,3,3,0,1,FALSE
22,4,4,FALSE,FALSE,2,1,1,1,3,0,1,FALSE
32,3,4,FALSE,TRUE,4,1,1,1,4,0,1,FALSE
34,4,4,FALSE,FALSE,2,0,1,1,4,0,1,FALSE
34,4,4,FALSE,FALSE,2,1,0,1,3,0,1,FALSE
23,4,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
27,4,4,FALSE,FALSE,1,1,1,1,2,0,1,FALSE
46,3,2,FALSE,TRUE,11,1,0,2,2,1,1,FALSE
34,4,4,FALSE,TRUE,3,0,1,1,2,0,1,FALSE
33,4,4,FALSE,TRUE,5,1,1,3,3,0,1,FALSE
25,3,3,FALSE,FALSE,1,1,1,3,2,0,1,FALSE
26,4,4,FALSE,FALSE,1,1,0,1,4,0,1,FALSE
48,1,3,FALSE,TRUE,4,1,1,3,3,1,1,FALSE
36,4,4,FALSE,FALSE,2,1,1,3,3,0,1,FALSE
38,3,4,FALSE,FALSE,2,0,1,2,4,0,1,FALSE
44,1,2,FALSE,TRUE,7,1,1,3,4,0,1,FALSE
44,2,2,FALSE,FALSE,1,1,0,3,2,0,1,FALSE
39,3,3,FALSE,FALSE,1,0,1,3,4,0,1,FALSE
47,1,2,FALSE,TRUE,7,1,0,3,2,0,1,FALSE
43,1,3,FALSE,TRUE,5,1,0,3,2,0,1,FALSE
29,3,3,FALSE,TRUE,3,1,0,2,4,0,1,FALSE
22,3,3,TRUE,FALSE,0,1,1,2,2,0,1,FALSE
31,2,4,FALSE,TRUE,5,1,1,3,2,0,1,FALSE
22,4,4,TRUE,FALSE,0,1,1,1,3,0,1,FALSE
45,3,4,FALSE,TRUE,6,1,1,2,4,0,1,FALSE
42,3,4,FALSE,TRUE,10,1,0,3,2,0,1,FALSE
38,3,3,FALSE,TRUE,7,1,1,3,1,0,1,FALSE
47,1,1,FALSE,TRUE,6,1,0,3,1,0,1,FALSE
30,4,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
28,3,4,FALSE,FALSE,1,1,1,3,4,0,1,FALSE
25,3,4,FALSE,FALSE,1,1,1,2,1,0,1,FALSE
49,2,4,FALSE,TRUE,6,0,1,2,3,0,1,FALSE
23,3,4,FALSE,FALSE,2,1,0,2,3,0,1,FALSE
35,3,4,FALSE,FALSE,1,0,1,2,3,0,1,FALSE
47,2,1,FALSE,TRUE,5,0,1,2,4,0,1,FALSE
35,2,3,TRUE,FALSE,0,1,1,2,4,0,1,FALSE
44,3,4,FALSE,TRUE,6,1,1,3,4,0,1,FALSE
48,4,4,FALSE,TRUE,3,1,1,2,4,0,1,FALSE
43,2,3,FALSE,TRUE,6,1,0,3,3,0,1,FALSE
21,2,4,FALSE,FALSE,2,1,1,3,1,0,1,FALSE
22,4,4,TRUE,FALSE,0,1,1,1,4,0,1,FALSE
41,3,3,FALSE,TRUE,5,1,1,3,4,0,1,FALSE
29,2,4,FALSE,FALSE,2,1,0,4,4,1,1,FALSE
44,4,4,FALSE,TRUE,5,0,1,2,4,0,1,FALSE
22,4,4,TRUE,FALSE,0,1,0,1,4,0,1,FALSE
23,2,4,FALSE,TRUE,4,1,1,3,3,0,1,FALSE
22,2,1,TRUE,FALSE,0,1,1,3,2,0,1,FALSE
35,1,3,TRUE,FALSE,0,1,1,2,2,1,1,FALSE
24,4,4,FALSE,FALSE,1,1,1,2,2,0,1,FALSE
36,4,4,FALSE,TRUE,4,1,1,1,4,0,1,FALSE
47,1,2,FALSE,FALSE,2,1,1,2,4,0,1,FALSE
40,4,4,FALSE,TRUE,3,1,1,3,4,0,1,FALSE
29,4,4,FALSE,FALSE,1,1,1,1,3,0,1,FALSE
49,3,4,FALSE,TRUE,6,1,1,1,4,0,1,FALSE
49,3,4,FALSE,TRUE,9,1,1,1,4,0,1,FALSE
47,4,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
28,4,4,FALSE,TRUE,3,0,1,1,4,0,1,FALSE
26,4,4,FALSE,FALSE,1,1,1,1,4,0,1,FALSE
29,1,2,FALSE,TRUE,7,1,1,2,4,0,1,FALSE
29,4,2,TRUE,FALSE,0,1,0,2,2,0,1,FALSE
25,3,3,FALSE,FALSE,1,1,1,3,4,0,1,FALSE
24,2,4,FALSE,FALSE,2,1,1,3,4,0,1,FALSE
23,4,4,FALSE,FALSE,1,1,0,2,4,0,1,FALSE
23,4,4,FALSE,FALSE,2,1,0,3,3,0,1,FALSE
44,1,2,FALSE,FALSE,2,1,1,2,4,0,1,FALSE
39,3,4,FALSE,TRUE,6,1,1,1,4,0,1,FALSE
21,3,3,TRUE,FALSE,0,1,1,2,2,0,1,FALSE
22,3,4,FALSE,FALSE,2,1,1,2,3,0,1,FALSE
47,3,4,FALSE,TRUE,3,1,1,2,3,0,1,FALSE
36,3,3,FALSE,FALSE,2,1,0,2,4,0,1,FALSE
25,1,4,FALSE,FALSE,2,1,0,3,3,1,1,FALSE
40,4,4,FALSE,FALSE,2,1,1,3,4,0,1,FALSE
36,2,2,TRUE,FALSE,0,0,0,3,3,0,1,FALSE
37,2,3,FALSE,TRUE,5,0,0,2,4,0,1,FALSE
28,1,4,FALSE,FALSE,2,1,0,2,3,0,1,FALSE
30,3,3,FALSE,TRUE,5,1,0,3,4,0,1,FALSE
16,3,4,FALSE,FALSE,1,1,1,3,3,0,1,FALSE
32,2,3,FALSE,TRUE,4,0,1,2,4,0,1,FALSE
40,4,4,FALSE,TRUE,3,0,1,3,4,0,1,FALSE
40,1,1,FALSE,FALSE,2,1,0,3,4,0,1,FALSE
45,3,4,FALSE,FALSE,2,0,1,1,4,0,1,FALSE
21,1,3,TRUE,FALSE,0,1,0,3,4,1,1,FALSE
28,4,4,FALSE,FALSE,1,0,1,1,3,0,1,FALSE
25,4,4,FALSE,FALSE,1,0,1,2,3,0,1,FALSE
44,1,3,FALSE,TRUE,4,1,1,3,3,1,1,FALSE
35,4,4,FALSE,FALSE,2,0,1,3,4,0,1,FALSE
49,4,4,FALSE,TRUE,4,1,1,3,4,0,1,FALSE
39,3,4,FALSE,FALSE,1,0,1,3,4,0,1,FALSE
32,3,4,FALSE,FALSE,1,0,1,2,4,0,1,FALSE
35,1,2,TRUE,FALSE,0,1,0,4,4,0,1,FALSE
21,1,2,FALSE,FALSE,1,1,0,3,4,0,1,FALSE
47,4,4,FALSE,FALSE,1,0,1,1,4,0,1,FALSE
27,4,4,FALSE,FALSE,1,0,1,3,4,0,1,FALSE
31,2,2,FALSE,TRUE,8,1,1,2,2,1,1,FALSE
34,4,3,TRUE,FALSE,0,0,0,3,3,0,1,FALSE
30,4,4,FALSE,TRUE,3,1,0,2,4,0,1,FALSE
25,4,4,TRUE,FALSE,0,1,0,2,4,0,1,FALSE
28,3,4,FALSE,TRUE,3,1,1,2,1,0,1,FALSE
30,2,3,FALSE,TRUE,4,1,0,3,2,0,1,FALSE
42,3,3,FALSE,TRUE,8,1,1,4,3,0,1,FALSE
23,4,4,TRUE,FALSE,0,0,1,2,4,0,1,FALSE
45,3,4,FALSE,TRUE,3,0,1,3,4,0,1,FALSE
21,4,4,FALSE,FALSE,1,1,1,3,3,0,1,FALSE
28,4,4,FALSE,FALSE,1,0,1,2,4,0,1,FALSE
33,4,4,FALSE,FALSE,1,0,0,3,4,0,1,FALSE
32,1,2,FALSE,TRUE,4,1,1,3,2,1,1,FALSE
25,2,2,FALSE,TRUE,3,1,1,3,3,0,1,FALSE
25,3,3,FALSE,FALSE,1,1,1,3,1,0,1,FALSE
19,2,2,FALSE,FALSE,2,1,1,3,1,0,1,FALSE
40,1,2,FALSE,TRUE,6,1,1,3,1,1,1,FALSE
24,2,2,FALSE,FALSE,2,1,1,3,1,1,1,FALSE
32,2,2,FALSE,FALSE,1,1,1,2,1,0,1,FALSE
35,2,3,FALSE,TRUE,8,1,1,3,2,0,1,FALSE
27,2,2,FALSE,FALSE,1,1,0,3,2,1,1,FALSE
23,2,4,FALSE,FALSE,2,1,1,1,4,0,1,FALSE
22,2,4,FALSE,TRUE,4,1,1,3,4,0,1,FALSE
